"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"174","RT @posadastech: #HackathonPosadas de madrugada seguimos con la mejor compañía! https://t.co/Wgjo8lk5u5",FALSE,0,NA,2017-05-27 21:01:41,FALSE,NA,"868572943621775360",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","SaraHaydeCibils",8,TRUE,FALSE,NA,NA
"175","RT @posadastech: #HackathonPosadas de madrugada seguimos! Compañía? Que no falte!! https://t.co/5gxl5BccQw",FALSE,0,NA,2017-05-27 21:01:37,FALSE,NA,"868572924885823488",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","SaraHaydeCibils",4,TRUE,FALSE,NA,NA
"176","RT @posadastech: Los equipos conformados en la #HackathonPosadas disfrutando del almuerzo, luego a continuar actividades! https://t.co/bw24…",FALSE,0,NA,2017-05-27 20:58:57,FALSE,NA,"868572255412002818",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","SaraHaydeCibils",3,TRUE,FALSE,NA,NA
"177","RT @posadastech: #HackathonPosadas de tarde! Las ideas de los grupos ya van tomando forma. https://t.co/Dk9z1ev5AK",FALSE,0,NA,2017-05-27 20:58:18,FALSE,NA,"868572090429038593",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","SaraHaydeCibils",2,TRUE,FALSE,NA,NA
"178","Casi mitad del recorrido.. 
#hackathonposadas #hackathon #innovacion #innovation https://t.co/T5vDtz8PeL",FALSE,2,NA,2017-05-27 20:53:50,FALSE,NA,"868570968532418563",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","soymotta",1,FALSE,FALSE,NA,NA
"179","#HackathonPosadas de tarde! Las ideas de los grupos ya van tomando forma. https://t.co/Dk9z1ev5AK",FALSE,4,NA,2017-05-27 19:30:05,FALSE,NA,"868549892091908097",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","posadastech",2,FALSE,FALSE,NA,NA
"180","#hackathonposadas",FALSE,0,NA,2017-05-27 18:37:38,FALSE,NA,"868536690637508609",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VeeritoEscobar",0,FALSE,FALSE,NA,NA
"181","RT @posadastech: Buen día #Posadas !! #HackathonPosadas https://t.co/YFmrRHhgSM",FALSE,0,NA,2017-05-27 17:44:07,FALSE,NA,"868523223511699456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","scorpio_luli",8,TRUE,FALSE,NA,NA
"182","RT @posadastech: Los equipos conformados en la #HackathonPosadas disfrutando del almuerzo, luego a continuar actividades! https://t.co/bw24…",FALSE,0,NA,2017-05-27 17:43:13,FALSE,NA,"868522997308682242",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","scorpio_luli",3,TRUE,FALSE,NA,NA
"183","Los equipos conformados en la #HackathonPosadas disfrutando del almuerzo, luego a continuar actividades! https://t.co/bw24MtWzxH",FALSE,4,NA,2017-05-27 17:11:42,FALSE,NA,"868515066043400192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","posadastech",3,FALSE,FALSE,NA,NA
"184","RT @soymotta: ¡¡Seguimos, seguimos con la #hackathonposadas!!
#hackathon #innovacion #innovation #innovacionciudadana https://t.co/cEysVkHG…",FALSE,0,NA,2017-05-27 16:49:18,FALSE,NA,"868509429976707074",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pepivillalba",4,TRUE,FALSE,NA,NA
"185","RT soymotta: ¡¡Seguimos, seguimos con la #hackathonposadas!!
#hackathon #innovacion #innovation #innovacionciudadana https://t.co/cEysVkHG…",FALSE,1,NA,2017-05-27 16:00:00,FALSE,NA,"868497023229730820",NA,"<a href=""http://www.powerapps.com"" rel=""nofollow"">Microsoft PowerApps and Flow</a>","fmarin_ES",0,FALSE,FALSE,NA,NA
"186","RT @sebapellizzeri: Alucinante la cantidad de gente en el hackaton de Posadas. #hackathonposadas #EcosistemaDeInnovación #ArgentinaEmprende…",FALSE,0,NA,2017-05-27 15:36:22,FALSE,NA,"868491075945680896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mpellizzeri1",4,TRUE,FALSE,NA,NA
"187","RT @sebapellizzeri: Alucinante la cantidad de gente en el hackaton de Posadas. #hackathonposadas #EcosistemaDeInnovación #ArgentinaEmprende…",FALSE,0,NA,2017-05-27 15:25:06,FALSE,NA,"868488240499761152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IntensidadC",4,TRUE,FALSE,NA,NA
"188","RT @posadastech: Ya todo listo para la Primer #HackathonPosadas las autoridades abren la maratón @losadajoaquin  @pepivillalba  @CMArzamend…",FALSE,0,NA,2017-05-27 15:22:08,FALSE,NA,"868487490356862976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nicogodoy1205",24,TRUE,FALSE,NA,NA
"189","RT @posadastech: Ya todo listo para la Primer #HackathonPosadas las autoridades abren la maratón @losadajoaquin  @pepivillalba  @CMArzamend…",FALSE,0,NA,2017-05-27 15:21:53,FALSE,NA,"868487427920408576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","luciano3219",24,TRUE,FALSE,NA,NA
"190","Alucinante la cantidad de gente en el hackaton de Posadas. #hackathonposadas #EcosistemaDeInnovación… https://t.co/zmFZ0EyAYy",FALSE,14,NA,2017-05-27 15:07:40,TRUE,NA,"868483851844288514",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sebapellizzeri",4,FALSE,FALSE,NA,NA
"191","Matías Motta: ¡¡Seguimos, seguimos con la #hackathonposadas!!#hackathon #innovacion #innovation #innovacionciudada… https://t.co/yCdybjHde2",FALSE,0,NA,2017-05-27 14:50:29,FALSE,NA,"868479526002724864",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","innova_scape",0,FALSE,FALSE,NA,NA
"192","Detalles de un evento que pretende grandes cosas #HackathonPosadas https://t.co/5yawMRDlj1",FALSE,2,NA,2017-05-27 14:44:13,FALSE,NA,"868477948499775488",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","posadastech",2,FALSE,FALSE,NA,NA
"193","#HackathonPosadas https://t.co/EqT4SsFT6x",FALSE,0,NA,2017-05-27 14:35:51,FALSE,NA,"868475842560753665",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","posadastech",0,FALSE,FALSE,NA,NA
"194","RT @posadastech: Mañana lluviosa de sábado. Hoy #HackathonPosadas continúa!! https://t.co/FkCJVf3hoO",FALSE,0,NA,2017-05-27 14:33:54,FALSE,NA,"868475354775789569",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JYMorello",9,TRUE,FALSE,NA,NA
"195","RT @posadastech: Buen día #Posadas !! #HackathonPosadas https://t.co/YFmrRHhgSM",FALSE,0,NA,2017-05-27 14:25:38,FALSE,NA,"868473275281747969",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rosanam2015",8,TRUE,FALSE,NA,NA
"196","RT @FelipeSMBarros: #100DaysOfCode #hackathonPosadas mate, facturas, ideas y muchos códigos; #CodeHard #EatHard",FALSE,0,NA,2017-05-27 13:23:23,FALSE,NA,"868457608490999808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","posadastech",5,TRUE,FALSE,NA,NA
"197","Grupos trabajando #HackathonPosadas https://t.co/hDn1o0xePW",FALSE,2,NA,2017-05-27 13:23:10,FALSE,NA,"868457554187358208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","posadastech",2,FALSE,FALSE,NA,NA
"198","#100DaysOfCode #hackathonPosadas mate, facturas, ideas y muchos códigos; #CodeHard #EatHard",FALSE,3,NA,2017-05-27 13:22:33,FALSE,NA,"868457398637383680",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","FelipeSMBarros",5,FALSE,FALSE,NA,NA
"199","RT @posadastech: Ya todo listo para la Primer #HackathonPosadas las autoridades abren la maratón @losadajoaquin  @pepivillalba  @CMArzamend…",FALSE,0,NA,2017-05-27 13:09:11,FALSE,NA,"868454033727655937",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Walter210692",24,TRUE,FALSE,NA,NA
"200","RT @soymotta: ¡¡Seguimos, seguimos con la #hackathonposadas!!
#hackathon #innovacion #innovation #innovacionciudadana https://t.co/cEysVkHG…",FALSE,0,NA,2017-05-27 13:04:12,FALSE,NA,"868452781333544961",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sara_perez_21",4,TRUE,FALSE,NA,NA
"201","RT @soymotta: ¡¡Seguimos, seguimos con la #hackathonposadas!!
#hackathon #innovacion #innovation #innovacionciudadana https://t.co/cEysVkHG…",FALSE,0,NA,2017-05-27 13:04:05,FALSE,NA,"868452752346755074",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Juaname07763234",4,TRUE,FALSE,NA,NA
"202","RT @soymotta: ¡¡Seguimos, seguimos con la #hackathonposadas!!
#hackathon #innovacion #innovation #innovacionciudadana https://t.co/cEysVkHG…",FALSE,0,NA,2017-05-27 13:04:01,FALSE,NA,"868452735326310401",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Micaela41105508",4,TRUE,FALSE,NA,NA
"203","RT @posadastech: Mañana lluviosa de sábado. Hoy #HackathonPosadas continúa!! https://t.co/FkCJVf3hoO",FALSE,0,NA,2017-05-27 12:52:11,FALSE,NA,"868449754472222720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","britezdaniel",9,TRUE,FALSE,NA,NA
"204","¡¡Seguimos, seguimos con la #hackathonposadas!!
#hackathon #innovacion #innovation #innovacionciudadana https://t.co/cEysVkHGNu",FALSE,4,NA,2017-05-27 12:49:08,FALSE,NA,"868448990437703681",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","soymotta",4,FALSE,FALSE,NA,NA
"205","Mañana de #Sábado en #Posadas #HackathonPosadas https://t.co/6T73J0UxDr",FALSE,3,NA,2017-05-27 12:41:15,FALSE,NA,"868447002480267264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","posadastech",2,FALSE,FALSE,NA,NA
"206","RT @posadastech: Ya paso la primera noche de #HackathonPosadas !! Buscando soluciones innovadoras https://t.co/VP6j8nk0Aw",FALSE,0,NA,2017-05-27 12:38:45,FALSE,NA,"868446374060322817",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rosanam2015",9,TRUE,FALSE,NA,NA
"207","RT @posadastech: Mañana lluviosa de sábado. Hoy #HackathonPosadas continúa!! https://t.co/FkCJVf3hoO",FALSE,0,NA,2017-05-27 12:38:32,FALSE,NA,"868446322155827200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rosanam2015",9,TRUE,FALSE,NA,NA
"208","RT @posadastech: #HackathonPosadas de madrugada seguimos con la mejor compañía! https://t.co/Wgjo8lk5u5",FALSE,0,NA,2017-05-27 12:38:23,FALSE,NA,"868446285157814272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rosanam2015",8,TRUE,FALSE,NA,NA
"209","RT @posadastech: Mañana lluviosa de sábado. Hoy #HackathonPosadas continúa!! https://t.co/FkCJVf3hoO",FALSE,0,NA,2017-05-27 12:37:58,FALSE,NA,"868446180098834432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","losadajoaquin",9,TRUE,FALSE,NA,NA
"210","RT @posadastech: Ya paso la primera noche de #HackathonPosadas !! Buscando soluciones innovadoras https://t.co/VP6j8nk0Aw",FALSE,0,NA,2017-05-27 12:37:54,FALSE,NA,"868446161962762240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","losadajoaquin",9,TRUE,FALSE,NA,NA
"211","RT @posadastech: #HackathonPosadas de madrugada seguimos con la mejor compañía! https://t.co/Wgjo8lk5u5",FALSE,0,NA,2017-05-27 12:37:49,FALSE,NA,"868446141431545856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","losadajoaquin",8,TRUE,FALSE,NA,NA
